CollectionObject.nodeId,CollectionObject.uri,CollectionObject.objectNumber,Exhibition.enValue,Exhibition.nodeId
2caf0286c8c5a98ed4e0b85c866e2f25,https://id.rijksmuseum.nl/20030768,BK-1978-159,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
d9c672d7a9aaa9d15aa9381452e14369,https://id.rijksmuseum.nl/20074690,BK-1973-273-A-2,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
3d737cea1d0d5a5c20889f3b97d8a56d,https://id.rijksmuseum.nl/20030867,BK-NM-5518,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
9fc4d6ca62e94952eae0990293f0c47f,https://id.rijksmuseum.nl/20016024,BK-1978-320-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
0b37a4ebc8b159304c2cf1e6d257bd5a,https://id.rijksmuseum.nl/200112178,BK-BR-J-415-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
e8e7dd5f0e943d47609d033c6d3c4d04,https://id.rijksmuseum.nl/20031277,BK-1957-68,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
d083a52bf9888c6ae84ec53486f9041e,https://id.rijksmuseum.nl/20032860,BK-1984-91,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
54dc06e98b52b850fc1d210a8cc6da0a,https://id.rijksmuseum.nl/20016312,BK-BR-J-179-C-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
13023af3a2c56f60f1c1eb1e2e47d1ae,https://id.rijksmuseum.nl/20016310,BK-BR-J-179-B,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
a8d748ec1123022a753f77ee605aa117,https://id.rijksmuseum.nl/20018329,BK-BR-J-179-C-2,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
c7ca33cbbaa7f492c4652a5051d46382,https://id.rijksmuseum.nl/20016311,BK-BR-J-179-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
038e47f6c880212872fa8b2883465f85,https://id.rijksmuseum.nl/20016313,BK-BR-J-179-D-1,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
800f5655ce5164c85545f65a54eea7f3,https://id.rijksmuseum.nl/20016314,BK-BR-J-179-E,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
f4415b5d48aa672bb2bfdf03dbfafa24,https://id.rijksmuseum.nl/20018330,BK-BR-J-179-D-2,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
971a075f0e8762a70360b6e65acfddbe,https://id.rijksmuseum.nl/20034396,BK-1973-435,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
5f8e1f3c3fb78784fb0157489383e5b6,https://id.rijksmuseum.nl/20034435,BK-1968-102,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
24204ef619dce1544d50dab248eb0bea,https://id.rijksmuseum.nl/20035114,BK-1968-84-A,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
7afb8390574e3ac3d69e0dad54bc10bf,https://id.rijksmuseum.nl/20046990,BK-1993-73,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
8f71e01f668f43d174cfe38f380576c4,https://id.rijksmuseum.nl/20047031,BK-1993-91,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
f932d911fc64aa6ff6e71b2f16f4b86f,https://id.rijksmuseum.nl/20047024,BK-1993-84,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
cb7ab7165418c910ba91a77d45d53448,https://id.rijksmuseum.nl/20046966,BK-1993-55,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
ee70d7d9f2f2263ea11b6ba040a1ba0e,https://id.rijksmuseum.nl/20035172,BK-1962-73,Finishing Touches. Kostuumaccessoires 1550-1950,fd8a20fa901d1cd797fcda529e83079a
